replicate,turtle_id,nest_id,outcome,arrival_sea,disoriented,time_s,path_length_m,direct_distance_m,efficiency,initial_heading_deg,abs_initial_heading_deg,max_landward_displacement_m,landward_step_fraction,remaining_energy,start_x_m,start_y_m,end_x_m,end_y_m
0,0,N3,sea,1,1,595.0,69.18376618407355,38.0,0.5492618007943574,-36.86989764584402,36.86989764584402,0.0,0.05172413793103448,0.6188503787545813,8.0,200.0,45.5,161.5
0,1,N8,predated,0,1,195.0,22.813708498984756,37.4925,1.6434197886620876,-48.81407483429036,48.81407483429036,0.0,0.0,0.9310634393625186,8.0,699.5,18.5,683.5
0,2,N4,sea,1,1,1055.0,122.51828996322982,36.5125,0.2980167288570395,-36.86989764584402,36.86989764584402,0.0,0.11961722488038277,0.4671634576981435,8.5,300.5,46.0,221.0
0,3,N7,censored,0,1,1800.0,208.0721138323927,36.5,0.1754199509377872,-45.0,45.0,4.0,0.3684210526315789,0.17627496213180938,7.5,600.0,10.0,520.0
0,4,N3,sea,1,1,830.0,99.93250352560284,38.0,0.38025665983905177,-33.690067525979785,33.690067525979785,0.0,0.15337423312883436,0.6446630511214674,8.0,200.0,45.5,143.5
0,5,N5,censored,0,1,1800.0,209.3294731452733,39.5,0.18869774717575127,-119.05460409907714,119.05460409907714,7.0,0.3025936599423631,0.10281701958091978,8.0,400.0,16.5,276.5
0,6,N6,censored,0,1,1800.0,207.91525958290023,39.0,0.1875764197309908,-53.13010235415598,53.13010235415598,1.0,0.3333333333333333,0.3324638296889967,7.5,500.0,15.5,414.0
0,7,N4,sea,1,1,1090.0,128.24621202458772,37.505,0.2924452847995966,-36.86989764584402,36.86989764584402,0.0,0.1596244131455399,0.5525417277179137,7.5,299.5,46.0,230.0
0,8,N6,censored,0,1,1800.0,211.0218613006985,38.505,0.182469246374108,-68.19859051364818,68.19859051364818,5.0,0.3507246376811594,0.3062868371166838,8.0,499.5,6.0,402.0
0,9,N4,censored,0,1,1800.0,208.55129855222128,37.5,0.1798118748736057,-60.94539590092286,60.94539590092286,0.0,0.18857142857142858,0.39648146092838943,7.5,300.0,42.5,154.0
0,10,N4,predated,0,1,735.0,87.32590180780457,37.0,0.42370017639706986,-36.86989764584402,36.86989764584402,0.0,0.2222222222222222,0.7986556332754492,8.0,300.0,23.0,245.0
0,11,N8,sea,1,1,560.0,65.59797974644663,37.5,0.5716639467396302,-41.18592516570965,41.18592516570965,0.0,0.018518518518518517,0.7763083337347724,8.0,700.0,45.0,664.0
0,12,N3,sea,1,1,700.0,85.89696961967006,37.9925,0.4423031472265102,-33.690067525979785,33.690067525979785,0.0,0.11678832116788321,0.8103327661522884,8.0,199.5,45.5,145.5
0,13,N9,sea,1,1,735.0,85.79036790187182,35.5,0.41379936778689863,-36.86989764584402,36.86989764584402,0.0,0.1048951048951049,0.7875894251057942,8.0,800.0,44.5,758.5
0,14,N7,sea,1,1,1475.0,169.5304832720498,35.5,0.20940186870718858,-5.710593137499642,5.710593137499642,0.0,0.24014336917562723,0.47957947158124015,8.5,600.0,46.0,526.5
0,15,N9,sea,1,0,440.0,53.14823227814078,35.0,0.6585355429477768,-16.69924423399362,16.69924423399362,0.0,0.046511627906976744,0.9589727475890415,8.5,800.0,44.0,787.0
0,16,N6,predated,0,1,1710.0,200.03657992645992,38.4875,0.1924023096883044,-53.13010235415598,53.13010235415598,5.0,0.38109756097560976,0.24473074530899838,8.0,500.5,5.5,422.0
0,17,N3,sea,1,1,650.0,76.66904755831214,38.0,0.49563678185904625,-33.690067525979785,33.690067525979785,0.0,0.06349206349206349,0.7673487819295642,8.0,200.0,45.5,154.5
0,18,N5,censored,0,1,1800.0,203.72287142747507,39.495,0.19386630339176295,-106.69924423399362,106.69924423399362,4.5,0.2953216374269006,0.04170274421288348,8.0,400.5,23.5,299.0
0,19,N5,censored,0,1,1800.0,205.67261889578094,39.4875,0.19199201241274233,-106.69924423399362,106.69924423399362,7.0,0.31486880466472306,0.3529131187526297,8.0,399.5,19.0,302.5
0,20,N4,sea,1,1,825.0,97.48275605729701,37.0,0.37955430782294125,-36.86989764584402,36.86989764584402,0.0,0.11180124223602485,0.5546821251745765,8.0,300.0,46.0,244.5
0,21,N1,sea,1,1,530.0,64.71930009000626,35.0,0.5407969485350567,5.710593137499642,5.710593137499642,0.0,0.02857142857142857,0.8643402255378644,8.0,0.0,43.0,0.0
0,22,N6,predated,0,1,1520.0,173.78784258493053,38.0,0.21865741259449326,-101.30993247402021,101.30993247402021,5.5,0.3586206896551724,0.5515485420908197,8.5,500.0,5.0,435.0
0,23,N4,sea,1,1,605.0,69.76955262170046,37.5,0.5374837388356186,-21.80140948635181,21.80140948635181,0.0,0.0423728813559322,0.7096036313055296,7.5,300.0,45.5,263.0
0,24,N8,sea,1,1,580.0,69.51219330881972,37.5,0.5394736982819673,-53.13010235415598,53.13010235415598,0.0,0.034782608695652174,0.8763254456293939,8.0,700.0,45.0,655.5
1,0,N6,predated,0,1,540.0,62.56244584051388,39.0,0.6233771630255633,-131.18592516570965,131.18592516570965,4.5,0.3173076923076923,0.754599989365566,7.5,500.0,11.5,481.5
1,1,N9,sea,1,1,875.0,103.34671708797596,35.01,0.3387625750143281,-41.18592516570965,41.18592516570965,0.0,0.14201183431952663,0.7664404154521642,8.5,799.5,45.0,740.0
1,2,N9,sea,1,1,670.0,78.58326112068525,34.5,0.4390247936773225,-29.054604099077146,29.054604099077146,0.0,0.10077519379844961,0.7277541670890925,9.0,800.0,44.5,758.0
1,3,N9,sea,1,1,580.0,69.04772721475246,35.5,0.5141371256086068,-36.86989764584402,36.86989764584402,0.0,0.08035714285714286,0.7061258934389723,8.0,800.0,44.5,772.0
1,4,N8,sea,1,1,645.0,75.87615433949867,38.0,0.5008161039629605,-53.13010235415598,53.13010235415598,0.0,0.08870967741935484,0.7039037968871229,7.5,700.0,45.5,667.5
1,5,N3,sea,1,1,710.0,84.08326112068526,37.495,0.44592704303158714,-45.0,45.0,0.0,0.06428571428571428,0.7628826718568053,8.5,200.5,45.5,146.5
1,6,N7,sea,1,1,665.0,81.65432893255074,35.5075,0.4348514091559115,-36.86989764584402,36.86989764584402,0.0,0.0916030534351145,0.6467886746268673,8.5,600.5,45.5,559.0
1,7,N8,sea,1,1,710.0,83.08326112068528,38.0,0.4573725138786003,-5.710593137499642,5.710593137499642,0.0,0.08695652173913043,0.7287628238734898,7.5,700.0,45.0,659.5
1,8,N5,predated,0,1,1795.0,202.67261889578097,39.5,0.19489559179334348,-101.30993247402021,101.30993247402021,5.0,0.23738872403560832,0.2116337815358074,8.0,400.0,38.5,293.5
1,9,N4,predated,0,1,325.0,35.29898987322332,37.5,1.062353345936573,-63.43494882292201,63.43494882292201,0.0,0.13559322033898305,0.887253456293759,7.5,300.0,18.5,283.5
1,10,N7,sea,1,1,1040.0,123.0391052434012,36.0,0.2925899040697936,-36.86989764584402,36.86989764584402,0.0,0.18719211822660098,0.7203084033908121,8.0,600.0,46.0,535.5
1,11,N3,sea,1,1,745.0,89.94722215136423,38.0,0.42246996728874137,-48.81407483429036,48.81407483429036,0.0,0.0945945945945946,0.8106036439304917,8.0,200.0,45.5,140.0
1,12,N1,sea,1,1,530.0,65.42640687119281,35.0,0.5349521955088514,5.710593137499642,5.710593137499642,0.0,0.02830188679245283,0.7228758849375683,8.0,0.0,43.5,0.5
1,13,N8,sea,1,1,655.0,77.16904755831216,38.0,0.49242541151341296,-16.69924423399362,16.69924423399362,0.0,0.07874015748031496,0.7048812641681627,7.5,700.0,45.0,661.0
1,14,N4,sea,1,1,1505.0,178.39444430272886,37.5,0.21020833998823343,-41.18592516570965,41.18592516570965,1.5,0.23208191126279865,0.3033926998045079,7.5,300.0,46.0,204.0
1,15,N1,sea,1,0,430.0,53.14823227814079,35.5,0.6679431935613165,0.0,0.0,0.0,0.011627906976744186,0.8545088440454824,7.5,0.0,43.0,0.0
